R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_TD_pct,B_avg_TD_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,weight_class,Winner,age_diff,height_diff,reach_diff,strike_acc_diff,td_acc_diff,sub_att_diff
23.0,32.0,170.18,180.34,175.26,180.34,0.39,0.41,0.55,0.09375,5.0,3.5,Featherweight,Red,-9.0,-10.159999999999997,-5.0800000000000125,-0.019999999999999962,0.45625000000000004,1.5
29.0,30.0,175.26,172.72,172.72,175.26,0.454189453125,0.259375,0.03421630859375,0.177421875,0.1197509765625,0.03125,Bantamweight,Red,-1.0,2.539999999999992,-2.539999999999992,0.19481445312499995,-0.14320556640625,0.0885009765625
35.0,32.0,190.5,190.5,193.04,198.12,0.5450372314453125,0.38171875,0.0005340576171875,0.0228125,0.0,0.140625,Heavyweight,Blue,3.0,0.0,-5.0800000000000125,0.16331848144531247,-0.0222784423828125,-0.140625
37.0,29.0,190.5,193.04,203.2,200.66,0.4305682802200317,0.505,0.0897481536865234,0.0,0.1435575485229492,0.0,LightHeavyweight,Blue,8.0,-2.539999999999992,2.539999999999992,-0.07443171977996832,0.0897481536865234,0.1435575485229492
32.0,27.0,185.42,182.88,195.58,187.96,0.47267578125,0.5634375,0.146015625,0.4353125,0.734375,1.078125,Middleweight,Blue,5.0,2.539999999999992,7.6200000000000045,-0.09076171875000005,-0.289296875,-0.34375
28.0,25.0,182.88,170.18,180.34,175.26,0.42,0.61,0.0,1.0,0.0,0.0,Featherweight,Red,3.0,12.699999999999989,5.0800000000000125,-0.19,-1.0,0.0
28.0,30.0,187.96,177.8,187.96,185.42,0.5349999999999999,0.605,0.5,0.125,0.0,0.0,Welterweight,Red,-2.0,10.159999999999997,2.5400000000000205,-0.07000000000000006,0.375,0.0
32.0,30.0,193.04,182.88,193.04,190.5,0.43908935546875,0.61615234375,0.094150390625,0.3455859375,0.188232421875,0.001953125,LightHeavyweight,Red,2.0,10.159999999999997,2.539999999999992,-0.17706298828125006,-0.251435546875,0.186279296875
27.0,31.0,172.72,182.88,180.34,185.42,0.6200000000000001,0.52,0.25,1.0,0.0,0.0,Featherweight,Blue,-4.0,-10.159999999999997,-5.079999999999984,0.10000000000000009,-0.75,0.0
32.0,35.0,177.8,165.1,185.42,177.8,0.46,0.265,0.5,0.11,1.0,0.5,Bantamweight,Blue,-3.0,12.700000000000017,7.619999999999976,0.195,0.39,0.5
